S.No.,TempleID,TempleName,Address,City,District,ZipCode,Latitude,Longitude
308,TM000308,Sri Ranganatha Swamy Temple,,Bookanabetta,Hassan,573116,12.9302872,76.5474782
309,TM000309,Sri Kshethra Chakrapani Gopinatha Temple,Attavara,Mangaluru,Dakshina Kannada,575001,12.8602095,74.8477954
310,TM000310,Sri Ramalingeshwar Temple,Chandikapur,Basavakalyan,Bidar,585419,17.8332878,76.8215906
311,TM000311,Sri Lakshmi Venkata Ramana Temple,Karighatta,Shrirangapattana,Mandya,571438,12.4228058,76.7170162
312,TM000312,Sri Durga Devi Temple,,Hirekerur,Haveri,581111,14.4587921,75.3971566
313,TM000313,Sri Hanumantha Devara Temple,,Koda,Haveri,581109,14.5429629,75.3645369
314,TM000314,Sri Vishaparihareshwara Basavanna Hanumantha Temple,,Balambida,Haveri,581111,14.4665491,75.3845418
315,TM000315,Sri Shantesha Temple,,Satenahalli,Haveri,581120,14.5737386,75.3146895
316,TM000316,Sri Sadashiva Mahaganapathi Temple,,Surathkal,Dakshina Kannada,575014,13.0039588,74.7906433
317,TM000317,Sri Narahari Parvatha Sadashiva Temple,,Amtoor,Dakshina Kannada,574231,12.8521982,75.0559343
318,TM000318,Sri Panchadurga Parameshwari Temple,,Poonja Arambodi,Dakshina Kannada,574237,12.9937118,75.0887954
319,TM000319,Sri Hanumantha Devara Temple,,Gundagatti,Haveri,581111,14.41284,75.4388427
320,TM000320,Sri Veerabhadreshwar Temple,,Rattihalli,Haveri,581116,14.4219653,75.512541
321,TM000321,Sri Tulaja Bhavani Temple,,Rattihalli,Haveri,581116,14.4230644,75.5116558
322,TM000322,Sri Ranganatha Temple,,Halluru,Haveri,581119,14.3319587,75.6203533
323,TM000323,Sri Aniveerabhadreshwar Temple,,Korwar,Kalaburagi,585312,17.3172247,77.0571659
324,TM000324,Sri Hanumantha Devara Temple,,Kadur,Haveri,581116,14.418415,75.5509602
325,TM000325,Sri Kantesh Swamy Temple,,Kadaramandalagi,Haveri,581106,14.6435567,75.5232746
326,TM000326,Sri Guru Gangadhar Bakkaprabhu Temple,,Karaknalli,Bidar,585227,17.6082096,77.4264533
327,TM000327,Mahathobara Chinthamani Sri Laksmi Narasimha Temple,,Kadeshivalaya,Dakshina Kannada,574325,12.8358612,75.171388
